negocio,venta_neta,pct_total,meta_ecom,meta_palma,cumpl_ecom_pct,cumpl_palma_pct,cob_impactados,cob_pct
Chocolates,154328.35,39.24,170589,207673,90.47,74.32,1352,51.8
Cárnico,94278.22,23.97,137796,167751,68.42,56.2,1479,56.7
Galletas,60668.67,15.43,85681,104307,70.81,58.16,1116,42.8
Bebidas TMLUC,35417.77,9.01,34247,41692,103.42,84.97,834,32.0
Café,30064.11,7.64,31562,38423,95.25,78.24,714,27.4
Snacks TMLUC,2464.67,0.63,2037,3520,121.0,70.02,54,2.1
Nutrición Experta,868.39,0.22,1000,1120,86.84,77.54,31,1.2
Otros TMLUC,71.44,0.02,50,61,142.88,117.12,6,0.2
Sin negocio identificado,15101.89,3.84,,,,,,
TOTAL PALUMAR,393263.51,100.0,462962.0,564546.27,84.94,69.66,1789,68.6
